f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,SNK_HX,175773.8,155.8
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,SRC_HX,110151.7,97.63
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,COMP1,235718.5,208.93
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,COMP2,364251.5,322.86
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,IHX,180599.6,160.08
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,SNK_HX,177001.5,156.89
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,SRC_HX,113824.0,100.89
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,COMP1,210038.7,186.17
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,COMP2,319967.0,283.61
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,IHX,191254.1,169.52
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,SNK_HX,178246.2,157.99
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,SRC_HX,117543.5,104.19
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,COMP1,189802.3,168.23
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,COMP2,282715.3,250.59
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,IHX,91637.8,81.22
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,SNK_HX,179441.0,159.05
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,SRC_HX,121403.0,107.61
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,COMP1,298212.6,264.33
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,COMP2,348596.2,308.98
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,IHX,172159.6,152.6
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,SNK_HX,177418.3,157.26
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,SRC_HX,110414.5,97.87
R1270,R600,R1270/R600,0.5,30.0,100.0,2.303,0.465,OK,COMP1,258005.3,228.69
R1270,R600,R1270/R600,0.5,30.0,100.0,2.303,0.465,OK,COMP2,313315.9,277.71
R1270,R600,R1270/R600,0.5,30.0,100.0,2.303,0.465,OK,IHX,86956.5,77.08
R1270,R600,R1270/R600,0.5,30.0,100.0,2.303,0.465,OK,MOT1,0.0,0.0
